GTIN,GTIN_12_UPC,PRODUCT_DESCRIPTION,INVOICE_UPC_CASE,INVOICE_UPC_PACK,INVOICE_PACKAGE_DESCRIPTION
00086003841857,086003841857,RM WOODBRIDGE WHT ZINFANDEL 750 ML,08600384182,086003841857,R MON WB WHITE ZIN 18 750ML
00083120000174,083120000174,OAK LEAF CAL MERLOT 750 ML,83120000129,083120000174,OAK LEAF MERLOT
00085000025017,085000025017,C ROSSI SNG JUG TABLE OTHER 750 ML,11111111111,085000025017,CARLO ROSSI SANGRIA 750
00070491801950,070491801950,FINEST CALL SWEET & SOUR READY TO USE 12/1L,70491801950,070491801950,FINEST CALL SWT N SR RTU
00754527008857,754527008857,NEW BELGIUM VOODOO RANGER JUICY HAZE IPA BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,11111111111,754527008857,NB VDR JUICY HAZE 4/6/12 CN
00857280008871,857280008871,FLYING EMBERS SWEET & HEAT HARD SELTZER VARIETY 12OZ 6 PACK,11111111111,857280008871,FLYING EMBERS SWEET AND HEAT VARIETY SELTZER 4/6 12OZ CANS
00740522100832,740522100832,BELLS TWO HEARTED ALE BEER 6 CT 12 OZ LONG NECK BTL CRTN 72 OZ,74052211080,740522100832,BELL'S TWO HRTED 4/6NR
00853394005164,853394005164,IMP IPA BOTTLE,11111111111,853394005164,BRICKWAY IMP STAG HOLIDAY STOUT 4/6 12 OZ CN
00872887000165,872887000165,FAIRVALLEY SAUVIGNON BLANC,11111111111,872887000165,FAIRVALLEY SB
00635985190028,635985190028,MIKES HARD PEACH LEMONADE MALT BEVERAGE 6 CT 11 OZ LONG NECK BTL CRTN 67.2 OZ,11111111111,635985190028,MIKES PEACH 4/6PK LN
00088352118567,088352118567,ARROW ORNG TRPL SEC 30 PRF 1000 ML,88352118567,088352118567,ARROW TRIPLE SEC 34
00085200118755,085200118755,SUTTR HM PN GRG PN GRIS/GRGIO 187 ML,08520011875,085200118755,SUTTER P GRIGIO 6/4PK PET 187ML
