,PRODUCT_MASTER_CATALOG_KEY,PRODUCT_DESCRIPTION
290,359966,MIKES HARDER CRANBERRY 12/2.5 CAN
291,355706,TANQUERAY S ORG GIN IMPORTED 1.0 LTR
292,341573,PABST BLUE RIBBON BEER 24 CT 12 OZ CAN IN BOX 288 OZ
293,360673,SPRING CRK SWT RED BLND/MRTG 750 ML
294,364833,ARIZONA TEA KIWI STRAWBERRY 24/23OZ CANS
295,154911,A TO Z WINEWORKS PINOT NOIR BTL
296,366652,RIUNITE EMILIA IGT LAMBRUSCO 12/750ML BOTTLE
297,340867,MILWAUKEES BEST LIGHT BEER 15 CT 12 OZ CAN IN BOX 180 OZ
298,366781,FRANCIS FORD COPPOLA SOFIA MONTEREY COUNTY ROSE 2020 12/750ML BOTTLE
299,361570,CAVE & COVE WHT VARTL OTH 750 ML
300,362826,HENRY WEINHARD’S HARD ORANGE SODA 4/6/12OZ BOTTLES
301,362656,SMIRNOFF ICE PARTY PACK VARIETY 2/12/11.2OZ BOTTLE
302,86581,MARBLE BREWERY IMPERIAL STOUT FOUR PACK 12 OUNCE CANS
303,366621,DORITOS TORTILLA CHIPS NACHO CHEESE FLAVOR SNACK 2.75OZ BAG
304,347997,SWEETWATER HAZY IPA BEER 6 CT 12 OZ CAN IN BOX 72 OZ
305,359965,MIKE'S HARDER MANGO 12/23.5 OZ CAN
306,93744,UNTITLED ART FLORIDA SELTZER BLOOD ORANGE/POM 12OZ CAN
307,340925,MILLER GENUINE DRAFT BEER 24 CT 12 OZ LONG NECK BTL IN BOX 288 OZ
308,362890,SPARKLING ICE PEACH NECTARINE 12/17OZ PLASTIC BOTTLE
309,367604,CHATEAU MORRISETTE SWEET MOUNTAIN LAUREL WHITE 750ML BOTTLE
310,346451,STONE RUINATION IPA BEER 1 CT 22 OZ LONG NECK BOTTLE 22 OZ
311,325067,MMK 46 HOLIDAY GIFT BOX 750X6 47% MS
312,352606,YUENGLING TRADITIONAL LAGER BEER 1 CT 24 OZ CAN 24 OZ
313,95790,REVOLUTION BREWING REV PILS 6 PACK 12 OZ CANS
314,16773,FOUR SONS BREWING SOUR PIE SERIES - CAN
315,351997,ESSENTIA WATER 12/1.0L BOX
316,144077,SWEET CHEEKS WINERY PINOT GRIS
317,352819,BULLEIT 90 STRT BOURBON 750 ML
318,350457,SHORTS LIL HUMA IPA BEER 6 CT 12 OZ CAN IN BOX 72 OZ
319,352662,DOS EQUIS XX LAGER ESPECIAL BEER 1 CT 24 OZ LONG NECK BOTTLE 24 OZ
320,362884,SPARKLING ICE POMEGRANATE BLUEBERRY 12/17OZ PLASTIC BOTTLES
321,364941,BERINGER MAIN & VINE CHARDONNAY 750ML
322,343558,BUDWEISER BEER 18 CT 12 OZ CAN IN BOX 216 OZ
323,342816,NATURAL ICE BEER 1 CT 25 OZ CAN 25 OZ
324,358128,EL MAYOR ANJ TQL 750 ML
325,365299,SHINER BOCK BEER - 24 OZ CANS
326,350694,CLAUSTHALER AMBER NA BEER 6 CT 12 OZ GLASS BOTTLE 72 OZ
327,365420,COINTREAU LIQUEUR 80PF 6/1L
328,362055,MENAGE A TRS RS ITL SPARKLING 750 ML
329,345724,LABATT BLUE BEER 12 CT 12 OZ CAN IN BOX 144 OZ
330,327201,DEK SIGN SOUR APPLE 750X6 15%
331,355702,ROE & CO BLEND IRISH 750 ML
332,360160,GALLO FAM V TWN CHARDONNAY 1.5 LTR
333,353351,SMIRNOFF VODKA 1OO PRF 200 ML
334,364958,FIRESTONE WALKER 805 BLONDE ALE 12/24OZ CANS
335,362392,WOODBRDGE RUM CHARDONNAY 750 ML
336,364897,SMIRNOFF SMASH RED WHITE BERRY 12/23.5OZ CANS
337,343196,BUD ICE BEER 15 CT 25 OZ CAN IN BOX 375 OZ
338,362672,STELLA ARTOIS 2/12 11.2OZ LONGNECK BOTTLE
